     *      | -0.1000E+02 |  0.0000E+00 |  0.1000E+02 | 
-0.8039E+04 |  0.3582E+00 |  0.0000E+00 |  0.3582E+00 | 
-----------   -----------   -----------   -----------
-0.8030E+04 |  0.5077E+00 |  0.0000E+00 |  0.5077E+00 | 
-----------   -----------   -----------   -----------
-0.8021E+04 |  0.9101E+00 |  0.0000E+00 |  0.9101E+00 | 
-----------   -----------   -----------   -----------
-0.8012E+04 |  0.4975E+01 |  0.0000E+00 |  0.4975E+01 | 
-----------   -----------   -----------   -----------
-0.8003E+04 |  0.1425E+01 |  0.0000E+00 |  0.1425E+01 | 
-----------   -----------   -----------   -----------
-0.7994E+04 |  0.6300E+00 |  0.0000E+00 |  0.6300E+00 | 
-----------   -----------   -----------   -----------
-0.7985E+04 |  0.4109E+00 |  0.0000E+00 |  0.4109E+00 | 
-----------   -----------   -----------   -----------
-0.7976E+04 |  0.3105E+00 |  0.0000E+00 |  0.3105E+00 | 
-----------   -----------   -----------   -----------
-0.7967E+04 |  0.2546E+00 |  0.0000E+00 |  0.2546E+00 | 
-----------   -----------   -----------   -----------
-0.7958E+04 |  0.2204E+00 |  0.0000E+00 |  0.2204E+00 | 
-----------   -----------   -----------   -----------
-0.7949E+04 |  0.1985E+00 |  0.0000E+00 |  0.1985E+00 | 
-----------   -----------   -----------   -----------
-0.7940E+04 |  0.1848E+00 |  0.0000E+00 |  0.1848E+00 | 
-----------   -----------   -----------   -----------
-0.7931E+04 |  0.1769E+00 |  0.0000E+00 |  0.1769E+00 | 
-----------   -----------   -----------   -----------
-0.7922E+04 |  0.1738E+00 |  0.0000E+00 |  0.1738E+00 | 
-----------   -----------   -----------   -----------
-0.7913E+04 |  0.1750E+00 |  0.0000E+00 |  0.1750E+00 | 
-----------   -----------   -----------   -----------
-0.7904E+04 |  0.1806E+00 |  0.0000E+00 |  0.1806E+00 | 
-----------   -----------   -----------   -----------
-0.7895E+04 |  0.1916E+00 |  0.0000E+00 |  0.1916E+00 | 
-----------   -----------   -----------   -----------
-0.7886E+04 |  0.2095E+00 |  0.0000E+00 |  0.2095E+00 | 
